,yhat
1456,41.73311582925524
1457,41.597563045923195
1458,41.878016165460956
1459,41.96041059757262
1460,42.22073790527818
1461,42.55689280135197
1462,43.08522144075866
1463,42.86522313590917
1464,42.852870538222454
1465,43.23754141840861
1466,43.40402396666182
1467,43.72758244015843
1468,44.10580604962731
1469,44.65514902000442
1470,44.43561442111882
1471,44.40404752274994
1472,44.75103273602659
1473,44.86285718194464
1474,45.11652899069941
1475,45.41157461950549
1476,45.866524599557245
1477,45.54354182208844
1478,45.401659628413846
1479,45.63362523179484
1480,45.62781289394692
1481,45.76319622160453
1482,45.94110497975728
1483,46.28167676059295
1484,45.848458343566364
1485,45.60162451764974
1486,45.734810170531226
1487,45.6370201118291
1488,45.687605810481
1489,45.78803403777436
1490,46.058357145656764
1491,45.56183902332951
1492,45.25820355386214
1493,45.34050029957393
1494,45.19705071392595
1495,45.20646283307099
1496,45.26943819060468
1497,45.50527945319757
1498,44.97655164010873
1499,44.64236265419168
1500,44.69525687606795
1501,44.523184286406504
1502,44.50453240383358
1503,44.53994430115444
1504,44.74883091367228
1505,44.19403042182435
1506,43.83508055840094
1507,43.86509791232531
1508,43.67272720052318
1509,43.637148471397616
1510,43.65986632648255
1511,43.86119031995887
1512,43.3048603571205
1513,42.95128404212699
1514,42.99438117512823
1515,42.82349949254913
1516,42.818390696966354
1517,42.880971874636295
1518,43.131782370532456
1519,42.63459072400693
1520,42.34961924654171
1521,42.47038190334708
1522,42.38559987152243
1523,42.47418390938629
1524,42.63700852989575
1525,42.99338775287033
1526,42.60570656251467
1527,42.43267500760076
1528,42.66619981302254
1529,42.693336956542666
1530,42.8913133268705
1531,43.159341367453706
1532,43.61513535310067
1533,43.31958229173749
1534,43.230033280100166
1535,43.53720913090561
1536,43.62718276130286
1537,43.87642560936111
1538,44.18364127221139
1539,44.66629446097457
1540,44.38528788709718
1541,44.29825271617811
1542,44.59644640448745
1543,44.6667205960152
1544,44.8865467200021
1545,45.155823030420564
1546,45.59337188976807
1547,45.26158075869553
1548,45.119653490597635
1549,45.36046679883041
1550,45.372495687238406
1551,45.53479662644646
1552,45.74877335817507
1553,46.134635237784465
1554,45.756002621247966
1555,45.57312684881096
1556,45.77972052885493
1557,45.764862608794374
1558,45.90796755337327
1559,46.11054387821407
1560,46.49265213272772
1561,46.11751683646489
1562,45.94475973369551
1563,46.16724970272196
1564,46.173033270652404
1565,46.34033436400332
1566,46.569347718123964
1567,46.9787351024967
1568,46.63027784227497
1569,46.48215191807565
1570,46.725819867796986
1571,46.74800232807091
1572,46.925716761698574
1573,47.15810676745157
1574,47.56297018687795
1575,47.20143865428997
1576,47.03127416724617
1577,47.24377634347864
1578,47.22576280447304
1579,47.35461000411213
1580,47.53007784495563
1581,47.87082641695475
1582,47.43907779448976
1583,47.19388891921456
1584,47.32802983240011
1585,47.229930425568924
1586,47.27868386742519
1587,47.375830977844466
1588,47.641834876068415
1589,47.14069986981383
1590,46.83320165575387
1591,46.913724123997646
1592,46.77216692478955
1593,46.78891288142935
1594,46.86658036064326
1595,47.12647066322479
1596,46.63316501592937
1597,46.347738715118304
1598,46.464588050934466
1599,46.373334357099935
1600,46.45379430591005
1601,46.60774144613685
1602,46.955368789543456
1603,46.55990663548763
1604,46.38086267020125
1605,46.6108793482088
1606,46.63767218915902
1607,46.83903732621655
1608,47.11465246861652
1609,47.58258021791786
1610,47.30392705097478
1611,47.23612413971645
1612,47.569824178121834
1613,47.69087705992516
1614,47.975372017091004
1615,48.32146973328478
